"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.678992750E0,1.392307270E0,3.261746826E-2,3.605100811E-1,1.438593394E0
1.688922750E0,1.202050129E0,-1.620067393E-1,3.538641357E-1,1.263483487E0
1.698852750E0,1.281925726E0,-1.109686688E-1,7.903856814E-2,1.289144952E0
1.708783750E0,1.384536905E0,7.465368630E-3,-2.343680978E-2,1.384755378E0
1.718713750E0,7.691635776E-1,5.896899170E-2,1.385579610E-1,7.837654367E-1
1.728643750E0,5.417167559E-1,-3.516153240E-2,2.662243134E-1,6.046228263E-1
1.738573750E0,2.666200237E-1,2.473735388E-3,7.752472401E-2,2.776732598E-1
1.748504750E0,5.913013274E-2,9.937799815E-2,-7.762237251E-2,1.392752377E-1
1.758434750E0,1.000725377E-2,9.180186133E-2,3.308062255E-2,9.809207134E-2
1.768364750E0,5.319363741E-2,2.874829257E-2,1.550377536E-1,1.664113350E-1
1.778295750E0,4.925299779E-2,3.130319234E-2,1.074981362E-1,1.223176067E-1
1.788225750E0,3.782995038E-2,6.838503258E-2,-1.259490252E-3,7.816139803E-2
1.798155750E0,2.234557316E-2,5.858650157E-2,1.412745774E-2,6.427509524E-2
1.808086750E0,7.129948586E-5,1.944167456E-2,1.020923853E-1,1.039270847E-1
1.818016750E0,-3.885237258E-3,1.468303459E-2,1.036337113E-1,1.047407881E-1
1.827946750E0,1.267519210E-2,5.008160763E-2,3.505171895E-2,6.242956766E-2
1.837876750E0,1.069738967E-2,3.788162971E-2,3.066981554E-2,4.990079760E-2
1.847807750E0,2.841728535E-3,5.864921752E-3,6.412407517E-2,6.445440051E-2
1.857737750E0,1.280925779E-2,-9.138828046E-3,6.542098761E-2,6.728670658E-2
1.867667750E0,3.468436763E-2,2.665375140E-2,5.654900730E-2,7.149278319E-2
1.877598750E0,2.945317442E-2,2.459158462E-2,4.140413404E-2,5.644942721E-2
1.887528750E0,9.428799693E-3,1.906316099E-2,6.924448192E-2,7.243690114E-2
1.897458750E0,-3.358311765E-3,9.398348490E-3,8.586987019E-2,8.644791390E-2
